subjno,trialType,primeType,targetVerbType,confederateVerbTransitivity,confederateVerb,confederateAgent,confederateBeneficiary,confederateTheme,confederateAgentPos,confederateSentence,confederateImage,matcherArray1,matcherArray2,matcherArray3,matcherArray4,participantVerbTransitivity,participantVerb,participantAgent,participantBeneficiary,participantTheme,participantAgentPos,participantImage
E1N_16_1,filler,NA,NA,d,loans,prisoner,sailor,cup,R,E1N_16_the_prisoner_loans_the_sailor_the_cup,prisoner_loans_sailor_cup,prisoner_loans_sailor_cup,prisoner_loans_soldier_cup,sailor_loans_prisoner_cup,soldier_loans_prisoner_cup,i,points,chef,NA,NA,L,chef_points
E1N_16_1,filler,NA,NA,m,catches,sailor,NA,hat,L,E1N_16_the_sailor_catches_the_hat,sailor_catches_hat,soldier_catches_cake,sailor_catches_cake,soldier_catches_hat,sailor_catches_hat,m,catches,golfer,NA,apple,L,golfer_catches_apple
E1N_16_1,filler,NA,NA,i,yawns,knight,NA,NA,R,E1N_16_the_knight_yawns,knight_yawns,wizard_waves,knight_waves,knight_yawns,wizard_yawns,m,brushes,chef,NA,cup,R,chef_brushes_cup
E1N_16_1,filler,NA,NA,m,holds,prisoner,NA,cup,R,E1N_16_the_prisoner_holds_the_cup,prisoner_holds_cup,prisoner_holds_cup,prisoner_holds_vase,prisoner_drops_vase,prisoner_drops_cup,i,yawns,soldier,NA,NA,L,soldier_yawns
E1N_16_1,filler,NA,NA,m,drops,cowboy,NA,book,R,E1N_16_the_cowboy_drops_the_book,cowboy_drops_book,cowboy_drops_book,cowboy_drops_vase,chef_drops_book,chef_drops_vase,d,serves,knight,soldier,book,R,knight_serves_soldier_book
E1N_16_1,critical,DO,SV,d,shows,artist,clown,hat,R,E1N_16_the_artist_shows_the_clown_the_hat,artist_shows_clown_hat,clown_shows_artist_hat,clown_shows_artist_apple,artist_shows_clown_hat,artist_shows_clown_apple,d,shows,wizard,soldier,book,L,wizard_shows_soldier_book
E1N_16_1,filler,NA,NA,i,yawns,astronaut,NA,NA,R,E1N_16_the_astronaut_yawns,astronaut_yawns,astronaut_sings,sailor_yawns,sailor_sings,astronaut_yawns,m,buys,golfer,NA,apple,L,golfer_buys_apple
E1N_16_1,filler,NA,NA,d,passes,sailor,soldier,book,L,E1N_16_the_sailor_passes_the_soldier_the_book,sailor_passes_soldier_book,soldier_passes_sailor_book,soldier_passes_sailor_cake,sailor_passes_soldier_book,sailor_passes_soldier_cake,m,examines,pirate,NA,vase,L,pirate_examines_vase
E1N_16_1,filler,NA,NA,i,ponders,soldier,NA,NA,R,E1N_16_the_soldier_ponders,soldier_ponders,soldier_waves,soldier_ponders,astronaut_ponders,astronaut_waves,i,points,pirate,NA,NA,L,pirate_points
E1N_16_1,filler,NA,NA,m,pokes,astronaut,NA,vase,L,E1N_16_the_astronaut_pokes_the_vase,astronaut_pokes_vase,astronaut_drops_vase,astronaut_drops_cup,astronaut_pokes_cup,astronaut_pokes_vase,m,examines,cowboy,NA,vase,R,cowboy_examines_vase
E1N_16_1,critical,PO,DV,d,shows,knight,astronaut,cake,R,E1N_16_the_knight_shows_the_cake_to_the_astronaut,knight_shows_astronaut_cake,astronaut_shows_cowboy_cake,cowboy_shows_astronaut_cake,knight_shows_astronaut_cake,astronaut_shows_knight_cake,d,offers,cowboy,soldier,vase,R,cowboy_offers_soldier_vase
E1N_16_1,filler,NA,NA,m,stabs,cowboy,NA,hat,L,E1N_16_the_cowboy_stabs_the_hat,cowboy_stabs_hat,cowboy_holds_cup,cowboy_stabs_cup,cowboy_stabs_hat,cowboy_holds_hat,i,points,prisoner,NA,NA,L,prisoner_points
