subjno,trialType,primeType,targetVerbType,confederateVerbTransitivity,confederateVerb,confederateAgent,confederateBeneficiary,confederateTheme,confederateAgentPos,confederateSentence,confederateImage,matcherArray1,matcherArray2,matcherArray3,matcherArray4,participantVerbTransitivity,participantVerb,participantAgent,participantBeneficiary,participantTheme,participantAgentPos,participantImage
E2N_3_1,filler,NA,NA,m,brushes,artist,NA,vase,R,E2N_3_the_artist_brushes_the_vase,artist_brushes_vase,artist_drops_book,artist_drops_vase,artist_brushes_book,artist_brushes_vase,m,brushes,wizard,NA,vase,L,wizard_brushes_vase
E2N_3_1,critical,alt,altSV,d,shows,knight,chef,cake,L,E2N_3_the_knight_shows_the_chef_the_cake,knight_shows_chef_cake,knight_shows_chef_cake,chef_shows_knight_cake,chef_shows_knight_apple,knight_shows_chef_apple,d,shows,astronaut,artist,hat,R,astronaut_shows_artist_hat
E2N_3_1,filler,NA,NA,i,spies,chef,NA,NA,R,E2N_3_the_chef_spies,chef_spies,knight_spies,chef_spies,chef_sings,knight_sings,m,holds,cowboy,NA,book,R,cowboy_holds_book
E2N_3_1,critical,non,nonSV,d,restores,cowboy,soldier,cake,L,E2N_3_the_cowboy_restores_the_soldier_the_cake,cowboy_restores_soldier_cake,cowboy_restores_soldier_cake,cowboy_restores_artist_cake,artist_restores_cowboy_cake,soldier_restores_cowboy_cake,d,restores,astronaut,artist,book,L,astronaut_restores_artist_book
E2N_3_1,filler,NA,NA,m,holds,pirate,NA,cup,R,E2N_3_the_pirate_holds_the_cup,pirate_holds_cup,pirate_holds_vase,pirate_holds_cup,golfer_holds_cup,golfer_holds_vase,m,buys,cowboy,NA,cup,L,cowboy_buys_cup
E2N_3_1,critical,non,altDV,d,restores,knight,chef,book,R,E2N_3_the_knight_restores_the_chef_the_book,knight_restores_chef_book,knight_restores_chef_book,chef_restores_knight_book,chef_restores_knight_hat,knight_restores_chef_hat,d,lends,prisoner,pirate,cake,L,prisoner_lends_pirate_cake
E2N_3_1,filler,NA,NA,m,catches,astronaut,NA,cake,R,E2N_3_the_astronaut_catches_the_cake,astronaut_catches_cake,astronaut_catches_cake,astronaut_catches_hat,clown_catches_cake,clown_catches_hat,i,spies,clown,NA,NA,L,clown_spies
E2N_3_1,filler,NA,NA,m,catches,soldier,NA,cup,L,E2N_3_the_soldier_catches_the_cup,soldier_catches_cup,soldier_catches_cup,soldier_examines_cup,soldier_examines_vase,soldier_catches_vase,m,brushes,clown,NA,cake,L,clown_brushes_cake
E2N_3_1,critical,alt,nonDV,d,lends,golfer,pirate,cup,R,E2N_3_the_golfer_lends_the_pirate_the_cup,golfer_lends_pirate_cup,golfer_lends_pirate_cake,pirate_lends_golfer_cake,pirate_lends_golfer_cup,golfer_lends_pirate_cup,d,restores,wizard,knight,hat,R,wizard_restores_knight_hat
E2N_3_1,filler,NA,NA,m,stabs,soldier,NA,book,R,E2N_3_the_soldier_stabs_the_book,soldier_stabs_book,astronaut_stabs_book,astronaut_pokes_book,soldier_stabs_book,soldier_pokes_book,m,pokes,soldier,NA,apple,L,soldier_pokes_apple
E2N_3_1,critical,non,nonDV,d,donates,clown,soldier,cup,R,E2N_3_the_clown_donates_the_soldier_the_cup,clown_donates_soldier_cup,soldier_donates_clown_cup,soldier_donates_clown_hat,clown_donates_soldier_hat,clown_donates_soldier_cup,d,restores,artist,chef,hat,R,artist_restores_chef_hat
E2N_3_1,filler,NA,NA,m,brushes,clown,NA,vase,R,E2N_3_the_clown_brushes_the_vase,clown_brushes_vase,clown_brushes_vase,clown_holds_hat,clown_brushes_hat,clown_holds_vase,d,loans,soldier,chef,cup,R,soldier_loans_chef_cup
E2N_3_1,filler,NA,NA,d,conveys,artist,prisoner,cup,R,E2N_3_the_artist_conveys_the_prisoner_the_cup,artist_conveys_prisoner_cup,artist_conveys_soldier_cup,artist_conveys_prisoner_cup,soldier_conveys_artist_cup,prisoner_conveys_artist_cup,m,pokes,pirate,NA,vase,R,pirate_pokes_vase
